ESS_REQUEST_ID,NAME,VALUE,DATA_TYPE,LOBVALUE,LOBFLAG,PARTITION_TIME
"6402198","EXT_PortletContainerWebModule","ORA_CRM_UI","String",,"N","2018-12-20 19:26:10.",
"6402198","aflogLevel","N","String",,"N","2018-12-20 19:26:10.",
"6402198","batchId",,"Long",,"N","2018-12-20 19:26:10.",
"6402198","completionText",,"String",,"N","2018-12-20 19:26:10.",
"6402198","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 19:26:10.",
"6402198","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 19:26:10.",
"6402198","cpSqlFileFlag","F","String",,"N","2018-12-20 19:26:10.",
"6402198","filePersistenceMode","content","String",,"N","2018-12-20 19:26:10.",
"6402198","jobDefinitionApplication","MKT","String",,"N","2018-12-20 19:26:10.",
"6402198","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-20 19:26:10.",
"6402198","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-20 19:26:10.",
"6402198","jobId","300002681258678","Long",,"N","2018-12-20 19:26:10.",
"6402198","jobPackageName","/oracle/apps/ess/marketing/commonMarketing/mktImport","String",,"N","2018-12-20 19:26:10.",
"6402198","logLevel","1","String",,"N","2018-12-20 19:26:10.",
"6402198","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-20 19:26:10.",
"6402198","parentRequest","0","String",,"N","2018-12-20 19:26:10.",
"6402198","requestStepPath",,"String",,"N","2018-12-20 19:26:10.",
"6402198","shadowClassName","oracle.apps.marketing.commonMarketing.mktImport.ess.program.ImportJobExecutor","String",,"N","2018-12-20 19:26:10.",
"6402198","srsFlag","Y","String",,"N","2018-12-20 19:26:10.",
"6402199","aflogLevel","N","String",,"N","2018-12-20 19:26:31.",
"6402199","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-20 19:26:31.",
"6402199","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent","String",,"N","2018-12-20 19:26:31.",
"6402199","completionText",,"String",,"N","2018-12-20 19:26:31.",
"6402199","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 19:26:31.",
"6402199","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 19:26:31.",
"6402199","cpSqlFileFlag","F","String",,"N","2018-12-20 19:26:31.",
"6402199","execution.context","DEVELOPMENT","String",,"N","2018-12-20 19:26:31.",
"6402199","execution.credmap.key","FUSION_APPS_CRM_ODI_ESS_APPID-KEY","String",,"N","2018-12-20 19:26:31.",
"6402199","execution.logLevel","2","String",,"N","2018-12-20 19:26:31.",
