ESS_REQUEST_ID,NAME,VALUE,DATA_TYPE,LOBVALUE,LOBFLAG,PARTITION_TIME
"6402544","EXT_PortletContainerWebModule","ORA_CRM_UI","String",,"N","2018-12-21 06:59:26.",
"6402544","aflogLevel","N","String",,"N","2018-12-21 06:59:26.",
"6402544","batchId",,"Long",,"N","2018-12-21 06:59:26.",
"6402544","completionText",,"String",,"N","2018-12-21 06:59:26.",
"6402544","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-21 06:59:26.",
"6402544","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-21 06:59:26.",
"6402544","cpSqlFileFlag","F","String",,"N","2018-12-21 06:59:26.",
"6402544","filePersistenceMode","content","String",,"N","2018-12-21 06:59:26.",
"6402544","jobDefinitionApplication","MKT","String",,"N","2018-12-21 06:59:26.",
"6402544","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-21 06:59:26.",
"6402544","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-21 06:59:26.",
"6402544","jobId","300002681230717","Long",,"N","2018-12-21 06:59:26.",
"6402544","jobPackageName","/oracle/apps/ess/marketing/commonMarketing/mktImport","String",,"N","2018-12-21 06:59:26.",
"6402544","logLevel","1","String",,"N","2018-12-21 06:59:26.",
"6402544","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-21 06:59:26.",
"6402544","parentRequest","0","String",,"N","2018-12-21 06:59:26.",
"6402544","requestStepPath",,"String",,"N","2018-12-21 06:59:26.",
"6402544","shadowClassName","oracle.apps.marketing.commonMarketing.mktImport.ess.program.ImportJobExecutor","String",,"N","2018-12-21 06:59:26.",
"6402544","srsFlag","Y","String",,"N","2018-12-21 06:59:26.",
"6402549","aflogLevel","N","String",,"N","2018-12-21 07:00:27.",
"6402549","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-21 07:00:27.",
"6402549","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent","String",,"N","2018-12-21 07:00:27.",
"6402549","completionText",,"String",,"N","2018-12-21 07:00:27.",
"6402549","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-21 07:00:27.",
"6402549","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-21 07:00:27.",
"6402549","cpSqlFileFlag","F","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.context","DEVELOPMENT","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.credmap.key","FUSION_APPS_CRM_ODI_ESS_APPID-KEY","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.logLevel","2","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.odi.master.repository.id","503","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.odi.master.repository.timestamp","1486368784167","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.odi.session.id","984657503","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.scheduler.name","CRM_ESS_ODI_SCHEDULER","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.variable.CRM_QSC_BULKIMPORT.L_LOGIN","SALES_CATALOG_ADMINISTRATOR","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.variable.CRM_QSC_BULKIMPORT.L_PRIMARY_LANGUAGE","US","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.variable.CRM_QSC_BULKIMPORT.L_USER","pawan.sarngal@oracle.com","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.variable.CRM_QSC_BULKIMPORT.N_BATCH_ID","300002681230730","String",,"N","2018-12-21 07:00:27.",
"6402549","execution.variable.CRM_QSC_BULKIMPORT.N_IMPORT_JOB_ID","300002681230717","String",,"N","2018-12-21 07:00:27.",
"6402549","filePersistenceMode","content","String",,"N","2018-12-21 07:00:27.",
"6402549","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-21 07:00:27.",
"6402549","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-21 07:00:27.",
"6402549","jobPackageName","/oracle/apps/ess/orderCapture/salesCatalog/setup","String",,"N","2018-12-21 07:00:27.",
"6402549","logLevel","1","String",,"N","2018-12-21 07:00:27.",
"6402549","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-21 07:00:27.",
"6402549","parentRequest","0","String",,"N","2018-12-21 07:00:27.",
"6402549","repository.work.name","FUSIONAPPS_WREP","String",,"N","2018-12-21 07:00:27.",
"6402549","requestStepPath",,"String",,"N","2018-12-21 07:00:27.",
"6402549","scenario.name","PRODUCT_GROUPS_MATCH","String",,"N","2018-12-21 07:00:27.",
"6402549","scenario.version","-1","String",,"N","2018-12-21 07:00:27.",
"6402549","shadowClassName","oracle.odi.ess.OdiScenarioLauncherAsync","String",,"N","2018-12-21 07:00:27.",
"6402550","aflogLevel","N","String",,"N","2018-12-21 07:00:47.",
"6402550","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-21 07:00:47.",
"6402550","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent ","String",,"N","2018-12-21 07:00:47.",
"6402550","completionText",,"String",,"N","2018-12-21 07:00:47.",
