SYSTSK_LOG_ID,SYSTASK_ID,MESSAGE_TYPE,MESSAGE_TEXT,SERVER,LOG_FILE_NAME,OBJECT_VERSION_NUMBER,CREATION_DATE,CREATED_BY,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN
"300002681271271","300002681230730","INFO","Started processing data to load data into import interface tables.",,,"1","2018-12-21 06:59:41.000000","pawan.sarngal@oracle.com","2018-12-21 06:59:41.016000","pawan.sarngal@oracle.com","7D824BFFB271793BE053961ECD0A043E",
"300002681416534","300002681416530","INFO","The process create control fill successfully at location : UCMFA07092960",,,"1","2018-12-21 06:59:51.762000","pawan.sarngal@oracle.com","2018-12-21 06:59:51.767000","pawan.sarngal@oracle.com","7D826393A64EF07BE053881ECD0AE02E",
"300002681416536","300002681416530","INFO","ESS SQL LOADER Job STARTED at : 2018-12-21 06:59:51:898",,,"1","2018-12-21 06:59:51.763000","pawan.sarngal@oracle.com","2018-12-21 06:59:51.773000","pawan.sarngal@oracle.com","7D826393A64EF07BE053881ECD0AE02E",
"300002681416541","300002681416537","INFO","The process create control fill successfully at location : UCMFA07092962",,,"1","2018-12-21 06:59:56.424000","pawan.sarngal@oracle.com","2018-12-21 06:59:56.429000","pawan.sarngal@oracle.com","7D826393A650F07BE053881ECD0AE02E",
"300002681416543","300002681416537","INFO","ESS SQL LOADER Job STARTED at : 2018-12-21 06:59:56:579",,,"1","2018-12-21 06:59:56.425000","pawan.sarngal@oracle.com","2018-12-21 06:59:56.434000","pawan.sarngal@oracle.com","7D826393A650F07BE053881ECD0AE02E",
"300002681271273","300002681416530","INFO","ESS SQL LOADER Job ENDED at : 2018-12-21 07:00:10:125",,,"1","2018-12-21 07:00:10.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:10.010000","pawan.sarngal@oracle.com","7D758BD86162EA63E0538E1ECD0A9604",
"300002681271275","300002681416530","DEBUG","ESS SQL LOADER Job Request Id: 6402545",,,"1","2018-12-21 07:00:10.018000","pawan.sarngal@oracle.com","2018-12-21 07:00:10.021000","pawan.sarngal@oracle.com","7D758BD86162EA63E0538E1ECD0A9604",
"300002681271277","300002681416530","DEBUG","ESS SQL LOADER Job: 1 rows inserted to interface table QSC_IMP_PROD_GROUPS",,,"1","2018-12-21 07:00:10.156000","pawan.sarngal@oracle.com","2018-12-21 07:00:10.159000","pawan.sarngal@oracle.com","7D758BD86162EA63E0538E1ECD0A9604",
"300002681271279","300002681230730","INFO","Interface Table upload Completed for Input File : ProductGroup.csv",,,"1","2018-12-21 07:00:10.261000","pawan.sarngal@oracle.com","2018-12-21 07:00:10.271000","pawan.sarngal@oracle.com","7D758BD86162EA63E0538E1ECD0A9604",
"300002681416545","300002681416537","INFO","ESS SQL LOADER Job ENDED at : 2018-12-21 07:00:14:365",,,"1","2018-12-21 07:00:14.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:14.010000","pawan.sarngal@oracle.com","7D8059D9FF4733DEE0538C1ECD0A7FDD",
"300002681416547","300002681416537","DEBUG","ESS SQL LOADER Job Request Id: 6402546",,,"1","2018-12-21 07:00:14.017000","pawan.sarngal@oracle.com","2018-12-21 07:00:14.020000","pawan.sarngal@oracle.com","7D8059D9FF4733DEE0538C1ECD0A7FDD",
"300002681416549","300002681416537","DEBUG","ESS SQL LOADER Job: 271 rows inserted to interface table QSC_IMP_PROD_GROUP_REL",,,"1","2018-12-21 07:00:14.100000","pawan.sarngal@oracle.com","2018-12-21 07:00:14.103000","pawan.sarngal@oracle.com","7D8059D9FF4733DEE0538C1ECD0A7FDD",
"300002681416551","300002681230730","INFO","Interface Table upload Completed for Input File : ProductGroupRelationship.csv",,,"1","2018-12-21 07:00:14.202000","pawan.sarngal@oracle.com","2018-12-21 07:00:14.211000","pawan.sarngal@oracle.com","7D8059D9FF4733DEE0538C1ECD0A7FDD",
"300002681354350","300002681230730","INFO","Initiate the process to load the data to fusion tables after validation.",,,"1","2018-12-21 07:00:24.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:24.011000","pawan.sarngal@oracle.com","7D82799A266C1047E053941ECD0AEAA8",
"300002681265377","300002681230730","INFO","Initiating the process to verify the data before loading the data to fusion tables.",,,"1","2018-12-21 07:00:25.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:25.013000","pawan.sarngal@oracle.com","7D82799A266C1047E053941ECD0AEAA8",
"300002681271281","300002681230730","INFO","Import job completed.",,,"1","2018-12-21 07:00:25.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:25.011000","pawan.sarngal@oracle.com","7D82799A266C1047E053941ECD0AEAA8",
"300002681416555","300002681230730","INFO","Initiate the process to load the data to fusion tables after validation.",,,"1","2018-12-21 07:00:25.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:25.010000","pawan.sarngal@oracle.com","7D82799A266C1047E053941ECD0AEAA8",
"300002681266072","300002681230730","INFO","Processing is in progress to verify the data, before loading the data to fusion tables.",,,"1","2018-12-21 07:00:27.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:27.012000","pawan.sarngal@oracle.com","7D82799A266C1047E053941ECD0AEAA8",
"100002028792564","300002681230730","DEBUG","ODI Step: Match Product Group Id Errors: 0  Inserts: 0  Updates: 0  Duration: 1",,,"1","2018-12-21 07:00:36.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:36.000000","pawan.sarngal@oracle.com","SALES_CATALOG_ADMINISTRATOR",
"100002028792565","300002681230730","DEBUG","ODI Step: Match Item Organization Id Errors: 0  Inserts: 0  Updates: 0  Duration: 0",,,"1","2018-12-21 07:00:36.000000","pawan.sarngal@oracle.com","2018-12-21 07:00:36.000000","pawan.sarngal@oracle.com","SALES_CATALOG_ADMINISTRATOR",
