ESS_REQUEST_ID,NAME,VALUE,DATA_TYPE,LOBVALUE,LOBFLAG,PARTITION_TIME
"6402515","EXT_PortletContainerWebModule","ORA_CRM_UI","String",,"N","2018-12-21 06:25:15.",
"6402515","aflogLevel","N","String",,"N","2018-12-21 06:25:15.",
"6402515","batchId",,"Long",,"N","2018-12-21 06:25:15.",
"6402515","completionText",,"String",,"N","2018-12-21 06:25:15.",
"6402515","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-21 06:25:15.",
"6402515","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-21 06:25:15.",
"6402515","cpSqlFileFlag","F","String",,"N","2018-12-21 06:25:15.",
"6402515","filePersistenceMode","content","String",,"N","2018-12-21 06:25:15.",
"6402515","jobDefinitionApplication","MKT","String",,"N","2018-12-21 06:25:15.",
"6402515","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-21 06:25:15.",
"6402515","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-21 06:25:15.",
"6402515","jobId","300002681258678","Long",,"N","2018-12-21 06:25:15.",
"6402515","jobPackageName","/oracle/apps/ess/marketing/commonMarketing/mktImport","String",,"N","2018-12-21 06:25:15.",
"6402515","logLevel","1","String",,"N","2018-12-21 06:25:15.",
"6402515","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-21 06:25:15.",
"6402515","parentRequest","0","String",,"N","2018-12-21 06:25:15.",
"6402515","requestStepPath",,"String",,"N","2018-12-21 06:25:15.",
"6402515","shadowClassName","oracle.apps.marketing.commonMarketing.mktImport.ess.program.ImportJobExecutor","String",,"N","2018-12-21 06:25:15.",
"6402515","srsFlag","Y","String",,"N","2018-12-21 06:25:15.",
"6402518","aflogLevel","N","String",,"N","2018-12-21 06:26:19.",
"6402518","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-21 06:26:19.",
"6402518","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent","String",,"N","2018-12-21 06:26:19.",
"6402518","completionText",,"String",,"N","2018-12-21 06:26:19.",
"6402518","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-21 06:26:19.",
"6402518","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.context","DEVELOPMENT","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.credmap.key","FUSION_APPS_CRM_ODI_ESS_APPID-KEY","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.logLevel","2","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.odi.master.repository.id","503","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.odi.master.repository.timestamp","1486368784167","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.odi.session.id","984648503","String",,"N","2018-12-21 06:26:19.",
"6402518","execution.scheduler.name","CRM_ESS_ODI_SCHEDULER","String",,"N","2018-12-21 06:26:19.",
