ESS_REQUEST_ID,NAME,VALUE,DATA_TYPE,LOBVALUE,LOBFLAG,PARTITION_TIME
"6402054","EXT_PortletContainerWebModule","ORA_CRM_UI","String",,"N","2018-12-20 15:04:12.",
"6402054","aflogLevel","N","String",,"N","2018-12-20 15:04:12.",
"6402054","batchId",,"Long",,"N","2018-12-20 15:04:12.",
"6402054","completionText",,"String",,"N","2018-12-20 15:04:12.",
"6402054","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 15:04:12.",
"6402054","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 15:04:12.",
"6402054","cpSqlFileFlag","F","String",,"N","2018-12-20 15:04:12.",
"6402054","filePersistenceMode","content","String",,"N","2018-12-20 15:04:12.",
"6402054","jobDefinitionApplication","MKT","String",,"N","2018-12-20 15:04:12.",
"6402054","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-20 15:04:12.",
"6402054","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-20 15:04:12.",
"6402054","jobId","300002681258585","Long",,"N","2018-12-20 15:04:12.",
"6402054","jobPackageName","/oracle/apps/ess/marketing/commonMarketing/mktImport","String",,"N","2018-12-20 15:04:12.",
"6402054","logLevel","1","String",,"N","2018-12-20 15:04:12.",
"6402054","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-20 15:04:12.",
"6402054","parentRequest","0","String",,"N","2018-12-20 15:04:12.",
"6402054","requestStepPath",,"String",,"N","2018-12-20 15:04:12.",
"6402054","shadowClassName","oracle.apps.marketing.commonMarketing.mktImport.ess.program.ImportJobExecutor","String",,"N","2018-12-20 15:04:12.",
"6402054","srsFlag","Y","String",,"N","2018-12-20 15:04:12.",
"6402055","aflogLevel","N","String",,"N","2018-12-20 15:04:37.",
"6402055","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-20 15:04:37.",
"6402055","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent","String",,"N","2018-12-20 15:04:37.",
"6402055","completionText",,"String",,"N","2018-12-20 15:04:37.",
"6402055","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 15:04:37.",
"6402055","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 15:04:37.",
"6402055","cpSqlFileFlag","F","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.context","DEVELOPMENT","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.credmap.key","FUSION_APPS_CRM_ODI_ESS_APPID-KEY","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.logLevel","2","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.odi.master.repository.id","503","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.odi.master.repository.timestamp","1486368784167","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.odi.session.id","984629503","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.scheduler.name","CRM_ESS_ODI_SCHEDULER","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.variable.CRM_QSC_BULKIMPORT.L_LOGIN","SALES_CATALOG_ADMINISTRATOR","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.variable.CRM_QSC_BULKIMPORT.L_PRIMARY_LANGUAGE","US","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.variable.CRM_QSC_BULKIMPORT.L_USER","pawan.sarngal@oracle.com","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.variable.CRM_QSC_BULKIMPORT.N_BATCH_ID","300002681258594","String",,"N","2018-12-20 15:04:37.",
"6402055","execution.variable.CRM_QSC_BULKIMPORT.N_IMPORT_JOB_ID","300002681258585","String",,"N","2018-12-20 15:04:37.",
"6402055","filePersistenceMode","content","String",,"N","2018-12-20 15:04:37.",
"6402055","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-20 15:04:37.",
"6402055","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-20 15:04:37.",
"6402055","jobPackageName","/oracle/apps/ess/orderCapture/salesCatalog/setup","String",,"N","2018-12-20 15:04:37.",
"6402055","logLevel","1","String",,"N","2018-12-20 15:04:37.",
"6402055","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-20 15:04:37.",
"6402055","parentRequest","0","String",,"N","2018-12-20 15:04:37.",
"6402055","repository.work.name","FUSIONAPPS_WREP","String",,"N","2018-12-20 15:04:37.",
"6402055","requestStepPath",,"String",,"N","2018-12-20 15:04:37.",
"6402055","scenario.name","PRODUCT_GROUPS_MATCH","String",,"N","2018-12-20 15:04:37.",
"6402055","scenario.version","-1","String",,"N","2018-12-20 15:04:37.",
"6402055","shadowClassName","oracle.odi.ess.OdiScenarioLauncherAsync","String",,"N","2018-12-20 15:04:37.",
"6402056","aflogLevel","N","String",,"N","2018-12-20 15:05:07.",
"6402056","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent ","String",,"N","2018-12-20 15:05:07.",
"6402056","completionText",,"String",,"N","2018-12-20 15:05:07.",
