SYSTSK_LOG_ID,SYSTASK_ID,MESSAGE_TYPE,MESSAGE_TEXT,SERVER,LOG_FILE_NAME,OBJECT_VERSION_NUMBER,CREATION_DATE,CREATED_BY,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN
"300002681268013","300002681258612","INFO","The process is started processing data to load data into import interface tables.",,,"1","2018-12-20 15:10:29.008000","pawan.sarngal@oracle.com","2018-12-20 15:10:29.011000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681268015","300002681258612","INFO","Started loading process for interface table",,,"1","2018-12-20 15:10:30.467000","pawan.sarngal@oracle.com","2018-12-20 15:10:30.471000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681268180","300002681258612","INFO","Number of records loaded to interface table after  0 days, 0 hours, 0 minutes, 0 seconds. is  163",,,"1","2018-12-20 15:10:30.905000","pawan.sarngal@oracle.com","2018-12-20 15:10:31.543000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681268182","300002681258612","INFO","Interface table upload completed and The time taken is 0 days, 0 hours, 0 minutes, 0 seconds.",,,"1","2018-12-20 15:10:30.907000","pawan.sarngal@oracle.com","2018-12-20 15:10:31.547000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681268184","300002681258612","INFO","Completed importing all the records to Interface table and number of records processed at Interface table level: 163",,,"1","2018-12-20 15:10:30.908000","pawan.sarngal@oracle.com","2018-12-20 15:10:31.549000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681268186","300002681258612","INFO","Completed importing all the records to Interface table and Error count at Interface table level: 0",,,"1","2018-12-20 15:10:30.910000","pawan.sarngal@oracle.com","2018-12-20 15:10:31.552000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681268188","300002681258612","INFO","The process finishes loading data into import interface tables.",,,"1","2018-12-20 15:10:31.581000","pawan.sarngal@oracle.com","2018-12-20 15:10:31.584000","pawan.sarngal@oracle.com","7D7056838227B268E0539A1ECD0AF47C",
"300002681375546","300002681258612","INFO","Initiate the process to load the data to fusion tables after validation.",,,"1","2018-12-20 15:10:35.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:35.011000","pawan.sarngal@oracle.com","7D70429EFC0E8513E0538A1ECD0A7456",
"300002681347351","300002681258612","INFO","Initiate the process to load the data to fusion tables after validation.",,,"1","2018-12-20 15:10:35.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:35.010000","pawan.sarngal@oracle.com","7D70429EFC0E8513E0538A1ECD0A7456",
"300002681264983","300002681258612","INFO","Import job completed.",,,"1","2018-12-20 15:10:36.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:36.011000","pawan.sarngal@oracle.com","7D70429EFC0E8513E0538A1ECD0A7456",
"300002681264267","300002681258612","INFO","Initiating the process to verify the data before loading the data to fusion tables.",,,"1","2018-12-20 15:10:39.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:39.011000","pawan.sarngal@oracle.com","7D70429EFC0E8513E0538A1ECD0A7456",
"300002681271903","300002681258612","INFO","Processing is in progress to verify the data, before loading the data to fusion tables.",,,"1","2018-12-20 15:10:40.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:40.011000","pawan.sarngal@oracle.com","7D70429EFC0E8513E0538A1ECD0A7456",
"100002028722221","300002681258612","DEBUG","ODI Step: Match Product Group Id Errors: 0  Inserts: 0  Updates: 0  Duration: 1",,,"1","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","SALES_CATALOG_ADMINISTRATOR",
"100002028722223","300002681258612","DEBUG","ODI Step: Update Internal Action Code to UPDATE - Parent Errors: 0  Inserts: 0  Updates: 0  Duration: 1",,,"1","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","SALES_CATALOG_ADMINISTRATOR",
"100002028722224","300002681258612","DEBUG","ODI Step: Generate Primary Key For Inserts - Parent Errors: 0  Inserts: 0  Updates: 0  Duration: 0",,,"1","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","SALES_CATALOG_ADMINISTRATOR",
"100002028722225","300002681258612","DEBUG","ODI Step: Create PG Header for Publish Errors: 0  Inserts: 0  Updates: 0  Duration: 0",,,"1","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","2018-12-20 15:10:49.000000","pawan.sarngal@oracle.com","SALES_CATALOG_ADMINISTRATOR",
