ESS_REQUEST_ID,NAME,VALUE,DATA_TYPE,LOBVALUE,LOBFLAG,PARTITION_TIME
"6402071","EXT_PortletContainerWebModule","ORA_CRM_UI","String",,"N","2018-12-20 15:10:15.",
"6402071","aflogLevel","N","String",,"N","2018-12-20 15:10:15.",
"6402071","batchId",,"Long",,"N","2018-12-20 15:10:15.",
"6402071","completionText",,"String",,"N","2018-12-20 15:10:15.",
"6402071","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 15:10:15.",
"6402071","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 15:10:15.",
"6402071","cpSqlFileFlag","F","String",,"N","2018-12-20 15:10:15.",
"6402071","filePersistenceMode","content","String",,"N","2018-12-20 15:10:15.",
"6402071","jobDefinitionApplication","MKT","String",,"N","2018-12-20 15:10:15.",
"6402071","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-20 15:10:15.",
"6402071","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-20 15:10:15.",
"6402071","jobId","300002681258603","Long",,"N","2018-12-20 15:10:15.",
"6402071","jobPackageName","/oracle/apps/ess/marketing/commonMarketing/mktImport","String",,"N","2018-12-20 15:10:15.",
"6402071","logLevel","1","String",,"N","2018-12-20 15:10:15.",
"6402071","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-20 15:10:15.",
"6402071","parentRequest","0","String",,"N","2018-12-20 15:10:15.",
"6402071","requestStepPath",,"String",,"N","2018-12-20 15:10:15.",
"6402071","shadowClassName","oracle.apps.marketing.commonMarketing.mktImport.ess.program.ImportJobExecutor","String",,"N","2018-12-20 15:10:15.",
"6402071","srsFlag","Y","String",,"N","2018-12-20 15:10:15.",
"6402072","aflogLevel","N","String",,"N","2018-12-20 15:10:40.",
"6402072","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-20 15:10:40.",
"6402072","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent","String",,"N","2018-12-20 15:10:40.",
"6402072","completionText",,"String",,"N","2018-12-20 15:10:40.",
"6402072","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 15:10:40.",
"6402072","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 15:10:40.",
"6402072","cpSqlFileFlag","F","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.context","DEVELOPMENT","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.credmap.key","FUSION_APPS_CRM_ODI_ESS_APPID-KEY","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.logLevel","2","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.odi.master.repository.id","503","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.odi.master.repository.timestamp","1486368784167","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.odi.session.id","984632503","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.scheduler.name","CRM_ESS_ODI_SCHEDULER","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.variable.CRM_QSC_BULKIMPORT.L_LOGIN","SALES_CATALOG_ADMINISTRATOR","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.variable.CRM_QSC_BULKIMPORT.L_PRIMARY_LANGUAGE","US","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.variable.CRM_QSC_BULKIMPORT.L_USER","pawan.sarngal@oracle.com","String",,"N","2018-12-20 15:10:40.",
"6402072","execution.variable.CRM_QSC_BULKIMPORT.N_BATCH_ID","300002681258612","String",,"N","2018-12-20 15:10:40.",
